Channel,Business Type
Internal Stock Transfer - Warehouse - 3PL,Internal Stock Transfer - Warehouse - 3PL
Internal Stock Transfer - Warehouse - Local,Internal Stock Transfer - Warehouse - Local
Internal Stock Transfer - Dark Stores,Internal Stock Transfer - Dark Stores
STN - MM,Internal Stock Transfer - Warehouse - 3PL
STN - BW,Internal Stock Transfer - Warehouse - 3PL
STN - LJ,Internal Stock Transfer - Warehouse - 3PL
STN - MP,Internal Stock Transfer - Warehouse - 3PL
STN - Lucknow,Internal Stock Transfer - Warehouse - 3PL
Amazon,B2B Ecommerce + Q- Commerce
Flipkart,B2B Ecommerce + Q- Commerce
FK Hub,B2B Ecommerce + Q- Commerce
Pillbox,B2B Ecommerce + Q- Commerce
RK World,B2B Ecommerce + Q- Commerce
Myntra,B2B Ecommerce + Q- Commerce
Nykaa,B2B Ecommerce + Q- Commerce
Purplle,B2B Ecommerce + Q- Commerce
Blinkit,B2B Ecommerce + Q- Commerce
Zepto,B2B Ecommerce + Q- Commerce
Instamart,B2B Ecommerce + Q- Commerce
Amazon Now,B2B Ecommerce + Q- Commerce
Apollo,B2B MT+ GT
TATA 1MG,B2B MT+ GT
Wellness Forever,B2B MT+ GT
Health & Glow,B2B MT+ GT
Reliance Retail,B2B MT+ GT
BW Kolkata,Internal Stock Transfer - Warehouse - 3PL
MM Kolkata,Internal Stock Transfer - Warehouse - 3PL
LJ Kolkata,Internal Stock Transfer - Warehouse - 3PL
MP Kolkata,Internal Stock Transfer - Warehouse - 3PL
BW Beyond NCR,Internal Stock Transfer - Warehouse - 3PL
LJ Beyond NCR,Internal Stock Transfer - Warehouse - 3PL
MM Beyond NCR,Internal Stock Transfer - Warehouse - 3PL
MP Beyond NCR,Internal Stock Transfer - Warehouse - 3PL
BW Beyond LUC,Internal Stock Transfer - Warehouse - 3PL
MM Beyond LUC,Internal Stock Transfer - Warehouse - 3PL
LJ Beyond LUC,Internal Stock Transfer - Warehouse - 3PL
MP Lucknow,Internal Stock Transfer - Warehouse - 3PL
BW Ahmedabad,Internal Stock Transfer - Warehouse - 3PL
LJ Ahmedabad,Internal Stock Transfer - Warehouse - 3PL
MM Ahmedabad,Internal Stock Transfer - Warehouse - 3PL
MP Ahmedabad,Internal Stock Transfer - Warehouse - 3PL
BW Emiza Guwahati,Internal Stock Transfer - Warehouse - 3PL
LJ Emiza Guwahati,Internal Stock Transfer - Warehouse - 3PL
MM Emiza Guwahati,Internal Stock Transfer - Warehouse - 3PL
BW Indore,Internal Stock Transfer - Warehouse - 3PL
LJ Indore,Internal Stock Transfer - Warehouse - 3PL
MM Indore,Internal Stock Transfer - Warehouse - 3PL
BW Emiza BLR,Internal Stock Transfer - Warehouse - 3PL
LJ Emiza BLR,Internal Stock Transfer - Warehouse - 3PL
MM Emiza BLR,Internal Stock Transfer - Warehouse - 3PL
MP BLR,Internal Stock Transfer - Warehouse - 3PL
BW HYD New,Internal Stock Transfer - Warehouse - 3PL
LJ HYD New,Internal Stock Transfer - Warehouse - 3PL
MM HYD New,Internal Stock Transfer - Warehouse - 3PL
MP HYD,Internal Stock Transfer - Warehouse - 3PL
B2B AHM Offline,Internal Stock Transfer - Warehouse - 3PL
B2B KOL Offline,Internal Stock Transfer - Warehouse - 3PL
B2B NCR Offline,Internal Stock Transfer - Warehouse - 3PL
BLR B2B Offline,Internal Stock Transfer - Warehouse - 3PL
TIRA,B2B Ecommerce + Q- Commerce
First club,B2B Ecommerce + Q- Commerce
STN DS,Internal Stock Transfer - Dark Stores
SL BW,Internal Stock Transfer - Warehouse - Local
SL MM,Internal Stock Transfer - Warehouse - Local
SL LJ,Internal Stock Transfer - Warehouse - Local
Delhivery_Vadaplani,Internal Stock Transfer - Dark Stores
DS_AHD,Internal Stock Transfer - Dark Stores
DS_BLR,Internal Stock Transfer - Dark Stores
DS_Hyd,Internal Stock Transfer - Dark Stores
DS_Kol,Internal Stock Transfer - Dark Stores
DTDC_Ernakulum,Internal Stock Transfer - Dark Stores
ER_Jaipur,Internal Stock Transfer - Dark Stores
Inamo_Chembur,Internal Stock Transfer - Dark Stores
Inamo_MiraRoad,Internal Stock Transfer - Dark Stores
Inamo_Sion,Internal Stock Transfer - Dark Stores
MH_ER_BOM,Internal Stock Transfer - Dark Stores
MH_PND_DELHI,Internal Stock Transfer - Dark Stores
ER_Chennai,Internal Stock Transfer - Dark Stores
