sku,case_size
MWBBBCP.00204.BO_N,12
MWBBHFP.00199.BO_N,96
MWBBNTP.2059.BO_N,300
MWBBOCP.0010.BO_N,96
MWBBSKP.00804.BO_N,54
MWBBSKP.00806.BO_N,96
MWBBSKP.00807.BO_N,96
MWBBSKP.00808.BO_N,96
MWBBSKP.00812.BO_N,96
MWBBSKP.00813.BO_N,45
MWBBSKP.00826.BO_N,96
MWBWBCP.00166.B0_N,25
MWBWBCP.00167.B0_N,15
MWBWBCP.00168.B0_N,54
MWBWBCP.00170.B0_N,48
MWBWBCP.00188.BO_N,96
MWBWHFP.00145.B0_N,40
MWBWHFP.00161.B0_N,100
MWBWHFP.00172.B0_N,36
MWBWHFP.0018.B0_N,48
MWBWHFP.00188.BO_N,48
MWBWHFP.0019.B0_N,54
MWBWHFP.0020.B0_N,90
MWBWHFP.00225.B0_N,100
MWBWHFP.00229.B0_N,48
MWBWHFP.00531.B0_N,96
MWBWHFP.00538.B0_N,99
MWBWHFP.00541.B0_N,96
MWBWHFP.00574.B0_N,77
MWBWHFP.00575.B0_N,48
MWBWHFP.00625.B0_N,15
MWBWHFP.00626.B0_N,15
MWBWHFP.00635.B0_N,96
MWBWHFP.00637.B0_N,110
MWBWHFP.00672.B0_N,48
MWBWHFP.00707.B0_N,54
MWBWHFP.00711.B0_N,42
MWBWNTP.00168.B0_N,40
MWBWNTP.00345.B0_N,96
MWBWNTP.00347.B0_N,42
MWBWNTP.00348.B0_N,18
MWBWNTP.00356.B0_N,18
MWBWNTP.00357.B0_N,96
MWBWSKK.00201.B0_N,250
MWBWSKK.00801.B0_N,54
MWBWSKK.00821.BO_N,15
MWBWSKK.00822.BO_N,15
MWBWSKP.0001.B0_N,96
MWBWSKP.00132.B0_N,40
MWBWSKP.00169.B0_N,96
MWBWSKP.00206.B0_N,300
MWBWSKP.00214.B0_N,25
MWBWSKP.00240.B0_N,54
MWBWSKP.00241.B0_N,54
MWBWSKP.00265.B0_N,96
MWBWSKP.00328.B0_N,48
MWBWSKP.00401.B0_N,25
MWBWSKP.00418.B0_N,96
MWBWSKP.00428.B0_N,35
MWBWSKP.00437.B0_N,96
MWBWSKP.00525.B0_N,96
MWBWSKP.00526.B0_N,96
MWBWSKP.00584.B0_N,54
MWBWSKP.00586.B0_N,48
MWBWSKP.00587.B0_N,112
MWBWSKP.00589.B0_N,96
MWBWSKP.00614.B0_N,80
MWBWSKP.00626.B0_N,54
MWBWSKP.00646.B0_N,96
MWBWSKP.00648.B0_N,54
MWBWSKP.00650.B0_N,54
MWBWSKP.00651.B0_N,18
MWBWSKP.00652.B0_N,49
MWBWSKP.00653.B0_N,196
MWBWSKP.00659.B0_N,31
MWBWSKP.00672.B0_N,48
MWBWSKP.00676.B0_N,18
MWBWSKP.00680.B0_N,96
MWBWSKP.00681.B0_N,96
MWBWSKP.00684.B0_N,96
MWBWSKP.00687.B0_N,96
MWBWSKP.00697.B0_N,18
MWBWSKP.00703.B0_N,48
MWBWSKP.00771.B0_N,96
MWBWSKP.00777.B0_N,80
MWBWSKP.00779.B0_N,96
MWBWSKP.00787.B0_N,96
MWBWSKP.00788.B0_N,96
MWBWSKP.00797.B0_N,39
MWBWSKS.0045.B0_N,196
MWBWUAEBCP.0001B0_N,96
MWBWUAEBCP.0002B0_N,96
MWBWUAEBCP.0003B0_N,96
MWBWUAEBCP.0004B0_N,96
MWBWUAEBCP.0005B0_N,96
MWBWUAEBCP.0006B0_N,96
MWBWUAEBCP.0007B0_N,96
MWBWUAEBCP.0008B0_N,25
MWBWUAEHFP.0001B0_N,48
MWBWUAEHFP.0002B0_N,96
MWBWUAENTP.0002B0_N,18
MWBWUAENTP.0005B0_N,30
MWBWUAENTP.0006B0_N,30
MWBWUAENTP.0007B0_N,40
MWBWUAENTP.0008B0_N,40
MWBWUAENTP.0009B0_N,40
MWBWUAESKP.0003B0_N,96
MWBWUAESKP.0004B0_N,25
MWBWUAESKP.0005B0_N,15
MWBWUAESKP.0006B0_N,54
MWBWUAESKP.0006B1_N,96
MWBWUAESKP.0007B0_N,48
MWBWUAESKP.0008B0_N,18
MWBWUSAHFP.00001.B0_N,48
MWBWUSAHFP.00002.B0_N,40
MWBWUSAPR.00P.026_B0_N,48
MWBWUSAPR.00P.027_B0_N,48
MWBWUSAPRP.00003.B0_N,40
MWBWUSAPRP.00022.B0_N,18
MWLJDCP.0001.B0_N,72
MWLJDCP.00011.B0_N,126
MWLJNTK.00366.B0_N,100
MWLJNTK.00367.B0_N,30
MWLJNTP.00019.B0_N,20
MWLJNTP.0002.B0_N,30
MWLJNTP.00023.B0_N,40
MWLJNTP.00027.B0_N,30
MWLJNTP.0003.B0_N,30
MWLJNTP.00034.B0_N,30
MWLJNTP.00051.B0_N,30
MWLJNTP.00056.B0_N,24
MWLJNTP.00059.B0_N,30
MWLJNTP.0007.B0_N,30
MWLJNTP.000709.B0_N,12
MWLJNTP.000748.B0_N,12
MWLJNTP.000755.B0_N,20
MWLJNTP.000759.B0_N,42
MWLJNTP.000795.B0_N,24
MWLJNTP.000801.B0_N,30
MWLJNTP.000809.B0_N,32
MWLJNTP.000810.B0_N,32
MWLJNTP.000820.B0_N,32
MWLJNTP.000836.B0_N,24
MWLJNTP.00122.B0_N,24
MWLJNTP.00126.B0_N,24
MWLJNTP.00177.B0_N,32
MWLJNTP.00248.B0_N,30
MWLJNTP.00339.B0_N,21
MWLJNTP.00380.B0_N,30
MWLJNTP.00423.B0_N,30
MWLJNTP.00480.B0_N,30
MWLJNTP.00481.B0_N,60
MWLJNTP.00483.B0_N,24
MWLJNTP.00500.B0_N,12
MWLJNTP.00507.B0_N,12
MWLJNTP.00518.B0_N,30
MWLJNTP.00520.B0_N,30
MWLJNTP.00527.BO_N,12
MWLJNTP.00532.B0_N,40
MWLJNTP.00533.B0_N,40
MWLJNTP.00534.B0_N,40
MWLJNTP.00536.B0_N,32
MWLJNTP.00541.BO_N,12
MWLJNTP.00542.BO_N,30
MWLJNTP.00551.BO_N,32
MWLJNTP.00553.BO_N,32
MWLJNTP.00563.B0_N,80
MWLJNTP.00571.B0_N,12
MWLJNTP.00572.B0_N,24
MWLJNTP.00584.BO_N,21
MWLJNTP.00586.BO_N,32
MWLJNTP.00605.BO_N,300
MWLJNTP.00607.BO_N,30
MWLJNTP.00608.BO_N,12
MWLJNTP.00609.BO_N,12
MWLJNTP.00610.BO_N,24
MWLJNTP.00615.BO_N,21
MWLJNTP.00617.BO_N,32
MWLJNTP.00618.BO_N,32
MWLJNTP.00636.B0_N,24
MWLJNTP.00636.BO_N,30
MWLJNTP.00664.BO_N,24
MWLJNTP.00694.BO_N,32
MWLJNTP.00698.B0_N,24
MWLJNTP.00699.B0_N,30
MWLJNTP.00746.BO_N,32
MWLJNTS.0001.B0_N,32
MWLJNTS.0002.B0_N,300
MWLJNTS.0003.B0_N,32
MWLJNTS.00043.B0_N,300
MWLJNTS.0006.BO_N,32
MWLJUAEP.00018.B0_N,20
MWLJUAEP.0002.B0_N,30
MWLJUAEP.00031.B0_N,20
MWLJUAEP.0004.B0_N,30
MWLJUAEP.00045.B0_N,24
MWLJUAEP.00051.B0_N,32
MWLJUSANTP.00001.B0_N,30
MWMMBDK.0031.AAAABO_N,54
MWMMBDK.0280.AAAA.B0_N,60
MWMMBDP.0001.AAAA.B0_N,32
MWMMBDP.0005.AAAA.B0_N,54
MWMMBDP.0006.AAAA.B0_N,42
MWMMBDP.0132.AAAA.B0_R,48
MWMMHRK.6357.AAAABO_N,48
MWMMHRP.0001.AAAA.B0_N,54
MWMMHRP.0002.AAAA.B0_N,90
MWMMHRP.0004.AAAA.B0_N,42
MWMMHRP.0006.AAAA.B0_R,80
MWMMHRP.0008.AAAA.B0_R,64
MWMMHRP.0009.AAAA.B0_R,54
MWMMHRP.0010.AAAA.B0_N,40
MWMMHRP.0014.AAAA.B0_N,24
MWMMHRP.0018.AAAA.B0_N,100
MWMMHRP.2050.AAAA.B0_N,100
MWMMHRP.6190.AAAA.B0_N,24
MWMMHRP.6286.AAAA.B0_N,100
MWMMHRP.6298.AAAA.B0_N,48
MWMMHRP.6337.AAAA.B0_N,120
MWMMHRP.6374.AAAABO_N,64
MWMMHRP.6622.B0_R,60
MWMMHRP.7031.B0_N,200
MWMMHRP.7044.B0_N,78
MWMMHRP.7106.B0_R,22
MWMMHRP.7121.B0_R,54
MWMMHTP.0001.AAAA.B0_N,46
MWMMHTP.0005.AAAA.B0_N,190
MWMMHTP.0127.AAAA.B0_N,48
MWMMNTP.000172.AAAAB0_N,18
MWMMNTP.00205.AAAA.B0_N,208
MWMMNTP.00207.AAAA.B0_N,208
MWMMNTP.00208.AAAA.B0_N,18
MWMMNTP.0035.AAAABO_N,208
MWMMNTP.0148.AAAA.B0_N,300
MWMMNTP.0171.AAAA.B0_N,40
MWMMNTP.6344.AAAABO_N,36
MWMMNTP.6345.AAAABO_N,30
MWMMNTP.6348.AAAABO_N,208
MWMMNTP.6349.AAAABO_N,208
MWMMNTP.6356.AAAABO_N,208
MWMMNTP.6358.AAAABO_N,100
MWMMNTP.6367.AAAABO_N,208
MWMMNTP.6369.AAAABO_N,208
MWMMPRK.2097.B0_N,40
MWMMPRP.2092.B0_N,42
MWMMSKP.5061.AAAA.B0_N,54
MWMMSKP.5064.AAAABO_N,96
MWMMSKP.5065.AAAABO_N,48
MWMMSKP.5066.AAAABO_N,96
MWRLUSAPRK.00004.B0_N,40
MWRLUSAPRK.00005.B0_N,40
MWRLUSAPRP.00007.B0_N,18
MWRLUSAPRP.00013.B0_N,40
MWRLUSAPRP.00014.B0_N,18
MWRLUSAPRP.00021.B0_N,40
MWRLUSAPRP.00024.B0_N,40
OWNAPP.0001,12
OWNAPP.00010,17500
OWNAPP.00012,6
OWNAPP.00015,6
OWNAPP.00016,17500
OWNAPP.00017,17500
OWNAPP.00018,6
OWNAPP.00019,6
OWNAPP.00020,12
OWNAPP.00021,18
OWNAPP.00023,1000
OWNAPP.00025,17500
OWNAPP.00028,17500
OWNAPP.00040,1000
OWNAPP.00041,6
